keyword,month,kw_count_month,kw_sent_sum,kw_sent_pos_sum,global_total,kw_share_global,kw_sent_share_global,kw_pos_sent_share_global
Junkfood,2020-10-01,8,4.0757,4.7664,22,0.36363636363636365,0.18525909090909093,0.21665454545454546
Junkfood,2020-11-01,4,2.339,2.5915,15,0.26666666666666666,0.15593333333333334,0.17276666666666665
Junkfood,2020-12-01,5,3.4149000000000003,3.8369999999999997,22,0.22727272727272727,0.1552227272727273,0.1744090909090909
Junkfood,2021-01-01,7,2.8301,4.2017,24,0.2916666666666667,0.11792083333333332,0.17507083333333331
Junkfood,2021-02-01,6,0.6117999999999999,2.3832999999999998,22,0.2727272727272727,0.027809090909090905,0.10833181818181817
Junkfood,2021-03-01,10,3.2277,5.196700000000001,22,0.45454545454545453,0.14671363636363635,0.2362136363636364
Junkfood,2021-04-01,9,4.2815,5.2728,27,0.3333333333333333,0.1585740740740741,0.1952888888888889
Junkfood,2021-05-01,9,1.8237,3.9676,39,0.23076923076923078,0.046761538461538465,0.10173333333333333
Junkfood,2021-06-01,2,-1.6206,0.0,21,0.09523809523809523,-0.07717142857142857,0.0
Junkfood,2021-07-01,6,2.3216,3.4061,31,0.1935483870967742,0.07489032258064517,0.1098741935483871
Junkfood,2021-08-01,2,0.9129,0.9129,17,0.11764705882352941,0.053700000000000005,0.053700000000000005
Junkfood,2021-09-01,1,0.8516,0.8516,19,0.05263157894736842,0.04482105263157895,0.04482105263157895
Junkfood,2021-10-01,8,4.1402,4.8309999999999995,31,0.25806451612903225,0.1335548387096774,0.15583870967741933
Junkfood,2021-11-01,7,-0.16139999999999988,2.6425,12,0.5833333333333334,-0.01344999999999999,0.22020833333333334
Junkfood,2021-12-01,6,4.0583,4.7075000000000005,22,0.2727272727272727,0.1844681818181818,0.21397727272727274
Junkfood,2022-01-01,8,5.6144,6.0112000000000005,31,0.25806451612903225,0.18110967741935483,0.19390967741935486
Junkfood,2022-02-01,10,9.0281,9.0281,28,0.35714285714285715,0.3224321428571429,0.3224321428571429
Junkfood,2022-03-01,10,6.3717,7.781000000000001,36,0.2777777777777778,0.17699166666666666,0.2161388888888889
Junkfood,2022-04-01,4,3.6056,3.6056,25,0.16,0.144224,0.144224
Junkfood,2022-05-01,2,1.8409,1.8409,15,0.13333333333333333,0.12272666666666666,0.12272666666666666
Junkfood,2022-06-01,6,3.6728,4.1231,28,0.21428571428571427,0.13117142857142858,0.14725357142857143
Junkfood,2022-07-01,7,5.3887,5.3887,32,0.21875,0.168396875,0.168396875
Junkfood,2022-08-01,5,2.7594,3.6199000000000003,23,0.21739130434782608,0.11997391304347825,0.15738695652173915
Junkfood,2022-09-01,3,0.2207,0.957,19,0.15789473684210525,0.011615789473684211,0.050368421052631576
Junkfood,2022-10-01,5,-0.08330000000000015,1.6627,33,0.15151515151515152,-0.002524242424242429,0.050384848484848484
Junkfood,2022-11-01,5,2.9381,3.6841,32,0.15625,0.091815625,0.115128125
Junkfood,2022-12-01,4,2.5011,2.5011,33,0.12121212121212122,0.07579090909090909,0.07579090909090909
Junkfood,2023-01-01,11,8.8697,8.8697,42,0.2619047619047619,0.21118333333333333,0.21118333333333333
Junkfood,2023-02-01,4,1.8035999999999999,2.0436,30,0.13333333333333333,0.06011999999999999,0.06812
Junkfood,2023-03-01,4,3.8453,3.8453,45,0.08888888888888889,0.08545111111111112,0.08545111111111112
Junkfood,2023-04-01,3,-0.16749999999999998,0.5661,29,0.10344827586206896,-0.005775862068965517,0.019520689655172417
Junkfood,2023-05-01,3,1.7570000000000001,1.7570000000000001,23,0.13043478260869565,0.0763913043478261,0.0763913043478261
Junkfood,2023-06-01,6,3.1135,3.6153999999999997,21,0.2857142857142857,0.14826190476190476,0.17216190476190474
Junkfood,2023-07-01,4,0.7510999999999999,1.8313,17,0.23529411764705882,0.044182352941176464,0.1077235294117647
Junkfood,2023-08-01,7,1.7731,3.8929,24,0.2916666666666667,0.07387916666666666,0.16220416666666668
Junkfood,2023-09-01,2,0.9438,0.9737,13,0.15384615384615385,0.0726,0.0749
